staat,jahr,tote_p10k,biersteuer,alo,lpkopf_einkom,alk_alter,D82,D83,D84,D85,D86,D87,D88
CT,1984,1.48653,0.248010993,4.599999905,9.83950564712594,20,0,0,1,0,0,0,0
CT,1985,1.41147,0.239078403,4.900000095,9.8685078336401,20.32999992,0,0,0,1,0,0,0
CT,1986,1.40933,0.232910231,3.799999952,9.91109525940894,21,0,0,0,0,1,0,0
CT,1987,1.39832,0.225690007,3.299999952,9.96137903095191,21,0,0,0,0,0,1,0
CT,1988,1.49706,0.217218488,3,10.0075527081773,21,0,0,0,0,0,0,1
DE,1982,2.03333,0.173031017,8.5,9.56547478400474,20,1,0,0,0,0,0,0
DE,1983,1.81518,0.166284397,8.100000381,9.58190392840867,20,0,1,0,0,0,0,0
DE,1984,2.11726,0.15934065,6.199999809,9.61081132402143,21,0,0,1,0,0,0,0
DE,1985,1.67203,0.153601691,5.300000191,9.64270044230679,21,0,0,0,1,0,0,0
DE,1986,2.1485,0.149638802,4.300000191,9.66918807147011,21,0,0,0,0,1,0,0
DE,1987,2.26708,0.144999996,3.200000048,9.70546335201488,21,0,0,0,0,0,1,0
DE,1988,2.42424,0.139557257,3.200000048,9.74085533544508,21,0,0,0,0,0,0,1
FL,1982,2.53197,1.073985696,8.199999809,9.51062174287437,19,1,0,0,0,0,0,0
FL,1983,2.49768,1.170412779,8.600000381,9.54139162156242,19,0,1,0,0,0,0,0
FL,1984,2.54661,1.186813235,6.300000191,9.56855260028757,19,0,0,1,0,0,0,0
FL,1985,2.49164,1.144067883,6,9.59971625791716,20,0,0,0,1,0,0,0
FL,1986,2.42004,1.114551187,5.699999809,9.62259352177807,21,0,0,0,0,1,0,0
FL,1987,2.36131,1.080000043,5.300000191,9.65400002588232,21,0,0,0,0,0,1,0
FL,1988,2.49534,1.039461017,5,9.67907995828115,21,0,0,0,0,0,0,1
GA,1982,2.17484,2.720763683,7.800000191,9.37368830340688,19,1,0,0,0,0,0,0
GA,1983,2.2606,2.61467886,7.5,9.41225094992082,19,0,1,0,0,0,0,0
GA,1984,2.41356,2.505494356,6,9.46940246565872,19,0,0,1,0,0,0,0
GA,1985,2.27744,2.415254116,6.5,9.5003502751764,19.25,0,0,0,1,0,0,0
GA,1986,2.5082,2.352941036,5.900000095,9.53904254468398,20.25,0,0,0,0,1,0,0
GA,1987,2.56991,2.279999971,5.5,9.56843430866833,21,0,0,0,0,0,1,0
GA,1988,2.60643,2.194417715,5.800000191,9.59473159203853,21,0,0,0,0,0,0,1
ID,1982,2.61759,0.402744651,9.800000191,9.3127849314631,19,1,0,0,0,0,0,0
ID,1983,2.66194,0.387041301,9.800000191,9.33664962965442,19,0,1,0,0,0,0,0
ID,1984,2.42242,0.370879114,7.199999809,9.3402112525939,19,0,0,1,0,0,0,0
ID,1985,2.53731,0.357521206,7.900000095,9.34659583382782,19,0,0,0,1,0,0,0
ID,1986,2.57485,0.348297209,8.699999809,9.35373015187076,19,0,0,0,0,1,0,0
ID,1987,2.62525,0.337500006,8,9.38084235196479,20.5,0,0,0,0,0,1,0
ID,1988,2.56231,0.324831575,5.800000191,9.40833885689823,21,0,0,0,0,0,0,1
IL,1982,1.4384,0.188544154,11.30000019,9.59855328103932,21,1,0,0,0,0,0,0
IL,1983,1.328,0.181192666,11.39999962,9.59868733645546,21,0,1,0,0,0,0,0
IL,1984,1.34265,0.173626378,9.100000381,9.64148039704764,21,0,0,1,0,0,0,0
IL,1985,1.32987,0.167372882,9,9.65520271034987,21,0,0,0,1,0,0,0
IL,1986,1.3817,0.163054705,8.100000381,9.6796342769272,21,0,0,0,0,1,0,0
IL,1987,1.43326,0.158000007,7.400000095,9.70607266229452,21,0,0,0,0,0,1,0
IL,1988,1.58171,0.1520693,6.800000191,9.73597397818738,21,0,0,0,0,0,0,1
IN,1982,1.75269,0.309132457,11.89999962,9.41595652475313,21,1,0,0,0,0,0,0
IN,1983,1.85605,0.297079116,11.10000038,9.42259919579262,21,0,1,0,0,0,0,0
IN,1984,1.68427,0.284673631,8.600000381,9.47338064020932,21,0,0,1,0,0,0,0
IN,1985,1.77123,0.27442053,7.900000095,9.48501445113586,21,0,0,0,1,0,0,0
IN,1986,1.88624,0.267340541,6.699999809,9.51650382941487,21,0,0,0,0,1,0,0
IN,1987,1.90743,0.259052992,6.400000095,9.54230245311951,21,0,0,0,0,0,1,0
IN,1988,1.98164,0.24932915,5.300000191,9.57246723356676,21,0,0,0,0,0,0,1
IA,1982,1.65119,0.375894994,8.5,9.47031514002347,19,1,0,0,0,0,0,0
IA,1983,1.76997,0.361238539,8.100000381,9.43933831524665,19,0,1,0,0,0,0,0
IA,1984,1.44678,0.346153855,7,9.48822184102508,19,0,0,1,0,0,0,0
IA,1985,1.64355,0.333686441,8,9.49939864527902,19,0,0,0,1,0,0,0
IA,1986,1.54737,0.383126944,7,9.53330592622321,20,0,0,0,0,1,0,0
IA,1987,1.73253,0.42750001,5.5,9.56689530871434,21,0,0,0,0,0,1,0
IA,1988,1.96542,0.484926879,4.5,9.55475565817483,21,0,0,0,0,0,0,1
KS,1982,2.06811,0.484009564,6.300000191,9.5535237853306,21,1,0,0,0,0,0,0
KS,1983,1.69345,0.465137631,6.099999905,9.54089740824391,21,0,1,0,0,0,0,0
KS,1984,2.09016,0.445714295,5.199999809,9.5686293840059,21,0,0,1,0,0,0,0
KS,1985,1.98367,0.429661036,5,9.5909221397566,21,0,0,0,1,0,0,0
KS,1986,2.03335,0.418575853,5.400000095,9.6142907267579,21,0,0,0,0,1,0,0
KS,1987,1.98304,0.405600011,4.900000095,9.62588781542586,21,0,0,0,0,0,1,0
KS,1988,1.93587,0.390375376,4.800000191,9.62690819948797,21,0,0,0,0,0,0,1
KY,1982,2.22523,0.215990454,10.60000038,9.31213842629719,21,1,0,0,0,0,0,0
KY,1983,2.09478,0.207568794,11.69999981,9.29780084235828,21,0,1,0,0,0,0,0
KY,1984,2.02688,0.198901087,9.300000191,9.34502490785039,21,0,0,1,0,0,0,0
KY,1985,1.9109,0.191737279,9.5,9.34187032430462,21,0,0,0,1,0,0,0
KY,1986,2.16049,0.186790496,9.300000191,9.35899169430408,21,0,0,0,0,1,0,0
KY,1987,2.26456,0.180999994,8.800000191,9.3933283733133,21,0,0,0,0,0,1,0
KY,1988,2.24846,0.174205959,7.900000095,9.42065898704328,21,0,0,0,0,0,0,1
LA,1982,2.48916,0.866348445,10.30000019,9.41030565214601,18,1,0,0,0,0,0,0
LA,1983,2.10088,0.832568824,11.80000019,9.39218395039,18,0,1,0,0,0,0,0
LA,1984,2.15423,0.79780221,10,9.39412602562375,18,0,0,1,0,0,0,0
LA,1985,2.07766,0.769067824,11.5,9.39036412500661,18,0,0,0,1,0,0,0
LA,1986,2.07157,0.749226034,13.10000038,9.35899169430408,18,0,0,0,0,1,0,0
LA,1987,1.85384,0.726000011,12,9.35140581225479,20.5,0,0,0,0,0,1,0
LA,1988,2.09846,0.698748827,10.89999962,9.37844521939476,21,0,0,0,0,0,0,1
ME,1982,1.46127,0.805489302,8.600000381,9.34510906008485,20,1,0,0,0,0,0,0
ME,1983,1.95633,0.774082601,9,9.37550484159468,20,0,1,0,0,0,0,0
ME,1984,2.00692,0.741758227,6.099999905,9.41502897020923,20,0,0,1,0,0,0,0
ME,1985,1.76976,0.715042412,5.400000095,9.44217487532024,20.5,0,0,0,1,0,0,0
ME,1986,1.82594,0.749807,5.300000191,9.49492167024273,21,0,0,0,0,1,0,0
ME,1987,1.95451,0.787500024,4.400000095,9.54566909789532,21,0,0,0,0,0,1,0
ME,1988,2.11618,0.757940352,3.799999952,9.58458856224194,21,0,0,0,0,0,0,1
MD,1982,1.49778,0.241050124,8.399999619,9.62892509499816,21,1,0,0,0,0,0,0
MD,1983,1.52523,0.231651381,6.900000095,9.65787438456916,21,0,1,0,0,0,0,0
MD,1984,1.4785,0.221978024,5.400000095,9.69972904869672,21,0,0,1,0,0,0,0
MD,1985,1.65984,0.213983059,4.599999905,9.73634674565815,21,0,0,0,1,0,0,0
MD,1986,1.75745,0.208462343,4.5,9.76856937305278,21,0,0,0,0,1,0,0
MD,1987,1.79493,0.202000007,4.199999809,9.80736204043875,21,0,0,0,0,0,1,0
MD,1988,1.69191,0.194417715,4.5,9.83924409186394,21,0,0,0,0,0,0,1
MA,1982,1.14669,0.286396176,7.900000095,9.63010214269769,20,1,0,0,0,0,0,0
MA,1983,1.12903,0.275229365,6.900000095,9.66786682587822,20,0,1,0,0,0,0,0
MA,1984,1.14867,0.263736248,4.800000191,9.72526741700341,20,0,0,1,0,0,0,0
MA,1985,1.27448,0.254237294,3.900000095,9.75679481672897,20.5,0,0,0,1,0,0,0
MA,1986,1.289,0.247678012,3.799999952,9.80617852095797,21,0,0,0,0,1,0,0
MA,1987,1.17677,0.239999995,3.200000048,9.85482238055485,21,0,0,0,0,0,1,0
MA,1988,1.23111,0.230991334,3.299999952,9.90521847562405,21,0,0,0,0,0,0,1
MI,1982,1.52682,0.545653939,15.5,9.49152764379739,21,1,0,0,0,0,0,0
MI,1983,1.45129,0.524378419,14.19999981,9.51831402349127,21,0,1,0,0,0,0,0
MI,1984,1.69022,0.502481282,11.19999981,9.56924357360379,21,0,0,1,0,0,0,0
MI,1985,1.70004,0.484383464,9.899999619,9.6044417427026,21,0,0,0,1,0,0,0
MI,1986,1.75621,0.471886456,8.800000191,9.63421090298674,21,0,0,0,0,1,0,0
MI,1987,1.73587,0.457257986,8.199999809,9.64329093701921,21,0,0,0,0,0,1,0
MI,1988,1.84416,0.440094322,7.599999905,9.67600347914553,21,0,0,0,0,0,0,1
MN,1982,1.38156,0.346062034,7.800000191,9.53109132065064,19,1,0,0,0,0,0,0
MN,1983,1.33896,0.332568794,8.199999809,9.5353613409591,19,0,1,0,0,0,0,0
MN,1984,1.39803,0.3186813,6.300000191,9.59791753449472,19,0,0,1,0,0,0,0
MN,1985,1.45004,0.307203382,6,9.6146748932118,19,0,0,0,1,0,0,0
MN,1986,1.35533,0.299277604,5.300000191,9.64629565946275,19.67000008,0,0,0,0,1,0,0
MN,1987,1.24823,0.316249996,5.400000095,9.67470312133183,21,0,0,0,0,0,1,0
MN,1988,1.42094,0.320981711,4,9.68334717779445,21,0,0,0,0,0,0,1
MS,1982,2.84379,1.145942807,11,9.16468371124793,21,1,0,0,0,0,0,0
MS,1983,2.7681,1.101261497,12.60000038,9.16049463137693,21,0,1,0,0,0,0,0
MS,1984,2.61355,1.055274725,10.80000019,9.18935241939347,21,0,0,1,0,0,0,0
MS,1985,2.53349,1.076631427,10.30000019,9.18989987332732,21,0,0,0,1,0,0,0
MS,1986,2.93826,1.065387011,11.69999981,9.21003075374941,21,0,0,0,0,1,0,0
MS,1987,2.88,0.960300028,10.19999981,9.24019039394507,21,0,0,0,0,0,1,0
MS,1988,2.75573,0.924254119,8.399999619,9.27788209959633,21,0,0,0,0,0,0,1
MO,1982,1.80089,0.346612185,9.199999809,9.47031514002347,21,1,0,0,0,0,0,0
MO,1983,1.83558,0.333097488,9.899999619,9.48698122083762,21,0,1,0,0,0,0,0
MO,1984,1.93361,0.319187909,7.199999809,9.52715440752839,21,0,0,1,0,0,0,0
MO,1985,1.85126,0.307691753,6.400000095,9.5492309990752,21,0,0,0,1,0,0,0
MO,1986,2.22946,0.299753368,6.099999905,9.57278808437795,21,0,0,0,0,1,0,0
MO,1987,2.04586,0.290461004,6.300000191,9.59205908635435,21,0,0,0,0,0,1,0
MO,1988,2.1455,0.279558241,5.699999809,9.60723500425321,21,0,0,0,0,0,0,1
MT,1982,3.15528,0.346447468,8.600000381,9.39544248360874,19,1,0,0,0,0,0,0
MT,1983,3.5049,0.332939208,8.800000191,9.3888320131641,19,0,1,0,0,0,0,0
MT,1984,2.89186,0.319036245,7.400000095,9.38484762228342,19,0,0,1,0,0,0,0
MT,1985,2.69976,0.319078386,7.699999809,9.36473312621535,19,0,0,0,1,0,0,0
MT,1986,2.71726,0.322081536,8.100000381,9.39900569695605,19,0,0,0,0,1,0,0
MT,1987,2.89246,0.323799998,7.400000095,9.41662256621498,20.32999992,0,0,0,0,0,1,0
MT,1988,2.45963,0.322910488,6.800000191,9.42408473297137,21,0,0,0,0,0,0,1
NE,1982,1.64151,0.375894994,6.099999905,9.48737526534746,20,1,0,0,0,0,0,0
NE,1983,1.59774,0.361238539,5.699999809,9.46651046209394,20,0,1,0,0,0,0,0
NE,1984,1.7757,0.346153855,4.400000095,9.5134522291808,20,0,0,1,0,0,0,0
NE,1985,1.47572,0.369438559,5.5,9.52771496976701,21,0,0,0,1,0,0,0
NE,1986,1.81477,0.464396268,5,9.54474651068629,21,0,0,0,0,1,0,0
NE,1987,1.86324,0.466874987,4.900000095,9.568014816248,21,0,0,0,0,0,1,0
NE,1988,1.62921,0.498075068,3.599999905,9.56236542058849,21,0,0,0,0,0,0,1
NV,1982,3.18907,0.161097854,10.10000038,9.61006108258005,21,1,0,0,0,0,0,0
NV,1983,2.82051,0.199971333,9.800000191,9.60666599056381,21,0,1,0,0,0,0,0
NV,1984,2.71538,0.222527474,7.800000191,9.62999014240025,21,0,0,1,0,0,0,0
NV,1985,2.76709,0.214512706,8,9.65275555061206,21,0,0,0,1,0,0,0
NV,1986,2.40951,0.208978325,6,9.67885944043165,21,0,0,0,0,1,0,0
NV,1987,2.60179,0.202500001,6.300000191,9.70576805356208,21,0,0,0,0,0,1,0
NV,1988,2.71347,0.194898948,5.199999809,9.73232579766253,21,0,0,0,0,0,0,1
NH,1982,1.82489,0.483293563,7.400000095,9.53489392746322,20,1,0,0,0,0,0,0
NH,1983,1.99166,0.56766057,5.400000095,9.59307193684719,20,0,1,0,0,0,0,0
NH,1984,1.96319,0.741758227,4.300000191,9.64547097178,20,0,0,1,0,0,0,0
NH,1985,1.91383,0.715042412,3.900000095,9.69773690761846,20,0,0,0,1,0,0,0
NH,1986,1.67478,0.696594417,2.799999952,9.74870892475748,20.5,0,0,0,0,1,0,0
NH,1987,1.69347,0.675000012,2.5,9.7928911311941,21,0,0,0,0,0,1,0
NH,1988,1.52995,0.64966315,2.400000095,9.83652066877792,21,0,0,0,0,0,0,1
NJ,1982,1.42799,0.08949881,9,9.72111826000284,19,1,0,0,0,0,0,0
NJ,1983,1.24799,0.086009175,7.800000191,9.75702887691306,21,0,1,0,0,0,0,0
NJ,1984,1.22655,0.082417585,6.199999809,9.80178332173713,21,0,0,1,0,0,0,0
NJ,1985,1.2748,0.079449154,5.699999809,9.83424873134174,21,0,0,0,1,0,0,0
NJ,1986,1.36262,0.077399381,5,9.87411294892397,21,0,0,0,0,1,0,0
NJ,1987,1.33342,0.075000003,4,9.91901635415375,21,0,0,0,0,0,1,0
NJ,1988,1.36122,0.072184794,3.799999952,9.9602662773033,21,0,0,0,0,0,0,1
NM,1982,4.21784,0.241646782,9.199999809,9.33673113286356,21,1,0,0,0,0,0,0
NM,1983,3.78745,0.348337173,10.10000038,9.33158330062717,21,0,1,0,0,0,0,0
NM,1984,3.48527,0.445054948,7.5,9.35353645874775,21,0,0,1,0,0,0,0
NM,1985,3.68966,0.429025412,8.800000191,9.38103025234735,21,0,0,0,1,0,0,0
NM,1986,3.3739,0.41795665,9.199999809,9.37802142351607,21,0,0,0,0,1,0,0
NM,1987,3.78667,0.405000001,8.899999619,9.38412559774785,21,0,0,0,0,0,1,0
NM,1988,3.23159,0.389797896,7.800000191,9.39426472859996,21,0,0,0,0,0,0,1
NY,1982,1.22932,0.119331747,8.600000381,9.62633062523807,19,1,0,0,0,0,0,0
NY,1983,1.17444,0.132855505,8.600000381,9.65331925840676,19,0,1,0,0,0,0,0
NY,1984,1.16082,0.135999992,7.199999809,9.70107542744296,19,0,0,1,0,0,0,0
NY,1985,1.12804,0.131101698,6.5,9.72368395601783,19.15999985,0,0,0,1,0,0,0
NY,1986,1.19247,0.127719298,6.300000191,9.75996985548568,21,0,0,0,0,1,0,0
NY,1987,1.30884,0.12376,4.900000095,9.79840477608298,21,0,0,0,0,0,1,0
NY,1988,1.25914,0.119114533,4.199999809,9.82986066933286,21,0,0,0,0,0,0,1
NC,1982,2.16589,1.431980968,9,9.3127849314631,21,1,0,0,0,0,0,0
NC,1983,2.03061,1.376146793,8.899999619,9.34620563562873,21,0,1,0,0,0,0,0
NC,1984,2.35161,1.318681359,6.699999809,9.40005211561255,21,0,0,1,0,0,0,0
NC,1985,2.3693,1.271186471,5.400000095,9.42172007819788,21,0,0,0,1,0,0,0
NC,1986,2.60148,1.238390088,5.300000191,9.46024345355349,21,0,0,0,0,1,0,0
NC,1987,2.46998,1.200000048,4.5,9.49739724903405,21,0,0,0,0,0,1,0
NC,1988,2.4241,1.154956698,3.599999905,9.53003580313877,21,0,0,0,0,0,0,1
ND,1982,2.20238,0.429594278,5.900000095,9.4377706596929,21,1,0,0,0,0,0,0
ND,1983,1.70338,0.412844062,5.599999905,9.42463756539477,21,0,1,0,0,0,0,0
ND,1984,1.4556,0.395604402,5.099999905,9.44857825649411,21,0,0,1,0,0,0,0
ND,1985,1.31387,0.381355941,5.900000095,9.44628299263226,21,0,0,0,1,0,0,0
ND,1986,1.47275,0.371517032,6.300000191,9.4585540560257,21,0,0,0,0,1,0,0
ND,1987,1.50298,0.360000014,5.199999809,9.47047137534067,21,0,0,0,0,0,1,0
ND,1988,1.55922,0.346487015,4.800000191,9.42151658348161,21,0,0,0,0,0,0,1
OH,1982,1.49155,0.429594278,12.5,9.47572927913514,21,1,0,0,0,0,0,0
OH,1983,1.47327,0.412844062,12.19999981,9.49071367129711,21,0,1,0,0,0,0,0
OH,1984,1.53259,0.395604402,9.399999619,9.53130841084491,21,0,0,1,0,0,0,0
OH,1985,1.53202,0.381355941,8.899999619,9.54628282257127,21,0,0,0,1,0,0,0
OH,1986,1.55657,0.371517032,8.100000381,9.56659212078048,21,0,0,0,0,1,0,0
OH,1987,1.64318,0.360000014,7,9.58863981201158,21,0,0,0,0,0,1,0
OH,1988,1.62414,0.346487015,6,9.61265645176172,21,0,0,0,0,0,0,1
OK,1982,3.26215,0.866348445,5.699999809,9.51432674352695,21,1,0,0,0,0,0,0
OK,1983,2.56116,0.832568824,9,9.45598121631942,21,0,1,0,0,0,0,0
OK,1984,2.40785,0.947390079,7,9.46353335156307,21,0,0,1,0,0,0,0
OK,1985,2.25386,0.961334765,7.099999905,9.46534385299353,21,0,0,0,1,0,0,0
OK,1986,2.11434,0.936532557,8.199999809,9.44591408217335,21,0,0,0,0,1,0,0
OK,1987,1.82457,0.907500029,7.400000095,9.44200749423127,21,0,0,0,0,0,1,0
OK,1988,1.95558,0.873436034,6.699999809,9.45898840135074,21,0,0,0,0,0,0,1
OR,1982,1.9408,0.225190938,11.5,9.44355236281202,21,1,0,0,0,0,0,0
OR,1983,2.06767,0.216410562,10.80000019,9.46695420977127,21,0,1,0,0,0,0,0
OR,1984,2.13752,0.207373634,9.399999619,9.49146254777671,21,0,0,1,0,0,0,0
OR,1985,2.08039,0.199904665,8.800000191,9.50122178881337,21,0,0,0,1,0,0,0
OR,1986,2.2909,0.194747165,8.5,9.52143055312803,21,0,0,0,0,1,0,0
OR,1987,2.27606,0.188710004,6.199999809,9.54816883136854,21,0,0,0,0,0,1,0
OR,1988,2.44669,0.181626573,5.800000191,9.56985057008052,21,0,0,0,0,0,0,1
PA,1982,1.53127,0.286396176,10.89999962,9.52160847620307,21,1,0,0,0,0,0,0
PA,1983,1.44731,0.275229365,11.80000019,9.52561975235205,21,0,1,0,0,0,0,0
PA,1984,1.45285,0.263736248,9.100000381,9.54594881492075,21,0,0,1,0,0,0,0
PA,1985,1.49414,0.254237294,8,9.57199229488261,21,0,0,0,1,0,0,0
PA,1986,1.5924,0.247678012,6.800000191,9.59649397076999,21,0,0,0,0,1,0,0
PA,1987,1.66471,0.239999995,5.699999809,9.62905070683437,21,0,0,0,0,0,1,0
PA,1988,1.60903,0.230991334,5.099999905,9.65654278365843,21,0,0,0,0,0,0,1
RI,1982,1.10063,0.174224347,10.19999981,9.49754498671317,20,1,0,0,0,0,0,0
RI,1983,1.04603,0.167431191,8.300000191,9.52946106826036,20,0,1,0,0,0,0,0
RI,1984,0.821,0.160439551,5.300000191,9.56885976617026,20.5,0,0,1,0,0,0,0
RI,1985,1.12603,0.154661015,4.900000095,9.5884575012441,21,0,0,0,1,0,0,0
RI,1986,1.27179,0.150670797,4,9.62307178973079,21,0,0,0,0,1,0,0
RI,1987,1.14604,0.145999998,3.799999952,9.65713934357732,21,0,0,0,0,0,1,0
RI,1988,1.25881,0.140519723,3.099999905,9.69633671025749,21,0,0,0,0,0,0,1
SC,1982,2.26286,2.062052488,10.80000019,9.24896426475992,21,1,0,0,0,0,0,0
SC,1983,2.59055,1.981651425,10,9.27742012582003,21,0,1,0,0,0,0,0
SC,1984,2.77408,1.898901105,7.099999905,9.32013061240018,21,0,0,1,0,0,0,0
SC,1985,2.84135,1.830508471,6.800000191,9.33870747646528,21,0,0,0,1,0,0,0
SC,1986,3.13221,1.783281803,6.199999809,9.36519847437822,21,0,0,0,0,1,0,0
SC,1987,3.1708,1.728000045,5.599999905,9.39490940131062,21,0,0,0,0,0,1,0
SC,1988,2.97983,1.663137674,4.5,9.42873736337696,21,0,0,0,0,0,0,1
SD,1982,2.13256,0.718377113,5.5,9.33462565943366,21,1,0,0,0,0,0,0
SD,1983,2.50358,0.690366983,5.400000095,9.31395625104024,21,0,1,0,0,0,0,0
SD,1984,2.02837,0.661538482,4.300000191,9.36405136286871,21,0,0,1,0,0,0,0
SD,1985,1.83616,0.637711883,5.099999905,9.36600324529089,21,0,0,0,1,0,0,0
SD,1986,1.89266,0.621259034,4.699999809,9.40717596208667,21,0,0,0,0,1,0,0
SD,1987,1.88999,0.609252989,4.199999809,9.43707745880052,21,0,0,0,0,0,1,0
SD,1988,2.06171,0.593364775,3.900000095,9.41541995092138,21,0,0,0,0,0,0,1
TN,1982,2.26152,0.338094264,11.80000019,9.30456509106294,19,1,0,0,0,0,0,0
TN,1983,2.21156,0.324911684,11.5,9.3221935344131,19,0,1,0,0,0,0,0
TN,1984,2.31697,0.311343938,8.600000381,9.36771973484944,19.67000008,0,0,1,0,0,0,0
TN,1985,2.31205,0.300130278,8,9.38593025598353,21,0,0,0,1,0,0,0
TN,1986,2.5625,0.292386979,8,9.42315206094334,21,0,0,0,0,1,0,0
TN,1987,2.57055,0.28332299,6.599999905,9.4631203924187,21,0,0,0,0,0,1,0
TN,1988,2.58631,0.27268815,5.800000191,9.49944106670738,21,0,0,0,0,0,0,1
TX,1982,2.74034,0.433174223,6.900000095,9.54271283743733,19,1,0,0,0,0,0,0
TX,1983,2.41717,0.416284412,8,9.52461521350384,19,0,1,0,0,0,0,0
TX,1984,2.43238,0.41884616,5.900000095,9.5496343772324,19,0,0,1,0,0,0,0
TX,1985,2.24679,0.461440682,7,9.56592360671723,19,0,0,0,1,0,0,0
TX,1986,2.13734,0.449535608,8.899999619,9.54326810855815,19.67000008,0,0,0,0,1,0,0
TX,1987,1.94234,0.435600013,8.399999619,9.53885243891622,21,0,0,0,0,0,1,0
TX,1988,2.01473,0.419249296,7.300000191,9.54955876445739,21,0,0,0,0,0,0,1
UT,1982,1.89345,0.356840104,7.800000191,9.28626228080871,21,1,0,0,0,0,0,0
UT,1983,1.77429,0.62925458,9.199999809,9.28543081370572,21,0,1,0,0,0,0,0
UT,1984,1.94085,0.877348363,6.5,9.31657960335025,21,0,0,1,0,0,0,0
UT,1985,1.84195,0.845748901,5.900000095,9.3312259683763,21,0,0,0,1,0,0,0
UT,1986,1.88101,0.823928773,6,9.33604972367221,21,0,0,0,0,1,0,0
UT,1987,1.7619,0.798386991,6.400000095,9.34040325627435,21,0,0,0,0,0,1,0
UT,1988,1.7574,0.76841867,4.900000095,9.37035857020033,21,0,0,0,0,0,0,1
VT,1982,2.05769,0.711515486,6.900000095,9.39801751614266,18,1,0,0,0,0,0,0
VT,1983,1.79048,0.683772922,6.900000095,9.408119079123,18,0,1,0,0,0,0,0
VT,1984,2.15094,0.655219793,5.199999809,9.44779855670543,18,0,0,1,0,0,0,0
VT,1985,2.14953,0.631620765,4.800000191,9.48130509165881,18,0,0,0,1,0,0,0
